"","ID","Region","Gender","Race","Education","Marital","Religion","Happy","Income","PolParty","Politics","Marijuana","DeathPenalty","OwnGun","GunLaw","SpendMilitary","SpendEduc","SpendEnv","SpendSci","Pres00","Postlife"
"19",19,"South Central","Male","White","Jr Col","Divorced","None","Pretty happy","75000-89999","Ind, Near Dem","Slightly conservative","Legal","Favor","Yes","Oppose","Too little","About right","Too much","About right",NA,NA
"20",20,"South Central","Male","White","HS","Never Married","None",NA,"25000-29999","Other party",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nader",NA
"21",21,"South Central","Female","Black","HS","Never Married","Protestant",NA,"25000-29999","Ind",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22",22,"South Central","Male","Black","HS","Separated","Catholic","Pretty happy","17500-19999","Not Str Dem","Moderate",NA,"Oppose","No","Favor","About right","Too little","Too little","About right",NA,"Yes"
"23",23,"South Central","Male","Other","Bachelors","Married","Moslem/Islam","Not too happy","50000-59999","Not Str Dem","Liberal","Legal","Favor",NA,NA,NA,NA,NA,NA,"Gore","Yes"
"24",24,"South Central","Female","Black","HS","Married","Protestant",NA,"40000-49999","Not Str Dem",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Gore",NA
"25",25,"South Central","Male","White","HS","Married","Protestant",NA,"40000-49999","Strong Rep",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bush",NA
"26",26,"South Central","Female","White","HS","Widowed","Protestant",NA,NA,"Other party",NA,NA,NA,NA,NA,"Too little","Too little","About right","About right","Bush",NA
"27",27,"South Central","Female","White","HS","Widowed","Catholic","Pretty happy",NA,"Other party","Slightly liberal",NA,"Favor","No","Favor",NA,NA,NA,NA,"Bush","Yes"
"28",28,"South Central","Female","Other","Bachelors","Divorced","None",NA,"25000-29999","Ind, Near Dem",NA,NA,NA,NA,NA,"Too much","Too little","Too little","Too little",NA,NA
"29",29,"South Central","Female","Other","HS","Never Married","Catholic",NA,"1000-2999","Ind",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30",30,"South Central","Female","White","HS","Never Married","Protestant",NA,"10000-124999","Ind",NA,NA,NA,NA,NA,"About right",NA,"About right",NA,NA,NA
"31",31,"South Central","Female","Black","Jr Col","Divorced","None",NA,"60000-74999","Ind",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32",32,"South Central","Male","White","Bachelors","Married","Protestant","Very happy","30000-34999","Strong Dem","Moderate",NA,"Favor","No","Favor","Too little","Too little","Too little","Too little","Gore","No"
"33",33,"South Central","Female","White","Bachelors","Never Married","Catholic","Very happy","50000-59999","Strong Dem","Slightly liberal","Not legal","Oppose",NA,NA,NA,NA,NA,NA,"Gore","Yes"
"34",34,"South Central","Male","White","Graduate","Never Married","Jewish","Pretty happy","75000-89999","Strong Dem","Slightly conservative","Legal","Oppose","No","Favor","About right","Too little","Too little","About right","Gore","Yes"
"35",35,"South Central","Male","White","Bachelors","Never Married","Protestant",NA,"4000-4999","Ind, Near Dem",NA,NA,NA,NA,NA,"Too much","Too little","Too little","About right","Gore",NA
"36",36,"South Central","Male","White","Left HS","Widowed","Catholic","Pretty happy","under 1000","Ind, Near Rep","Moderate",NA,"Oppose","Yes","Oppose",NA,NA,NA,NA,"Bush","Yes"
"37",37,"South Central","Female","White","Left HS","Married","Protestant","Not too happy","7000-7999","Not Str Dem","Slightly liberal","Legal","Oppose",NA,NA,"About right","About right","Too little","About right",NA,"Yes"
"38",38,"South Central","Female","White","Graduate","Never Married","None","Very happy","60000-74999","Ind","Moderate",NA,"Favor","Yes","Oppose",NA,NA,NA,NA,"Nader","Yes"
"39",39,"South Central","Male","White","HS","Divorced","None",NA,"130000-149999","Other party",NA,NA,NA,NA,NA,"About right","Too much","About right","Too much",NA,NA
"40",40,"South Central","Male","White","HS","Divorced","Protestant",NA,"40000-49999","Not Str Rep",NA,NA,NA,NA,NA,"Too little","Too little","About right","Too little","Bush",NA
"41",41,"South Central","Female","White","Bachelors","Never Married","Protestant","Very happy",NA,"Strong Rep","Conservative",NA,"Favor","No","Favor",NA,NA,NA,NA,"Bush","Yes"
"42",42,"South Central","Female","Other","Left HS","Separated","Catholic",NA,"10000-124999","Ind",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43",43,"South Central","Female","White","Bachelors","Divorced","Protestant","Pretty happy","30000-34999","Not Str Rep","Moderate","Not legal","Favor",NA,NA,NA,NA,NA,NA,"Bush",NA
"44",44,"South Central","Female","Black","Jr Col","Divorced","Protestant",NA,"35000-39999","Strong Dem",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Gore",NA
"45",45,"South Central","Female","White","HS","Married","Protestant",NA,"7000-7999","Strong Rep",NA,NA,NA,NA,NA,"Too little","Too little","Too little","Too much","Bush",NA
"46",46,"South Central","Male","White","HS","Never Married","Inter-nondenominational","Very happy","35000-39999","Not Str Rep","Slightly liberal",NA,"Favor","Yes","Favor",NA,NA,NA,NA,NA,"Yes"
"47",47,"South Central","Male","White","HS","Never Married","Christian","Pretty happy","under 1000","Not Str Dem","Extremely liberal","Legal","Favor",NA,NA,"Too much","About right","Too little","About right",NA,"Yes"
"48",48,"South Central","Male","White","Jr Col","Married","Protestant","Very happy",NA,"Not Str Rep","Moderate","Not legal","Favor","Yes","Oppose",NA,NA,NA,NA,"Bush","No"
"49",49,"South Central","Female","White","HS","Divorced","Protestant",NA,"40000-49999","Strong Rep",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bush",NA
"50",50,"South Central","Female","White","HS","Married","Christian",NA,NA,"Ind, Near Dem",NA,NA,NA,NA,NA,"Too little","Too little","Too little","About right",NA,NA
"51",51,"South Central","Female","White","HS","Married","Protestant","Very happy",NA,"Ind, Near Rep","Slightly conservative",NA,"Favor","Refused","Favor",NA,NA,NA,NA,"Bush","Yes"
"52",52,"South Central","Male","White","HS","Married","Protestant","Pretty happy",NA,"Ind, Near Rep","Slightly conservative","Not legal","Favor",NA,NA,"Too little","Too much","Too much","Too much","Bush","Yes"
"53",53,"South Central","Male","White","HS","Divorced","Protestant","Not too happy","17500-19999","Strong Rep","Moderate","Legal","Favor","Yes","Oppose",NA,NA,NA,NA,NA,"Yes"
"54",54,"South Central","Female","White","Bachelors","Married","Christian",NA,"35000-39999","Ind, Near Rep",NA,NA,NA,NA,NA,"About right","Too little","Too little","Too little",NA,NA
"55",55,"South Central","Male","White","Graduate","Divorced","Protestant",NA,"25000-29999","Ind, Near Rep",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bush",NA
"56",56,"South Central","Male","White","HS","Married","Protestant","Very happy","35000-39999","Not Str Rep","Moderate",NA,"Favor","No","Favor","Too little","Too little",NA,NA,"Bush","Yes"
"57",57,"South Central","Female","White","HS","Widowed","Protestant","Pretty happy",NA,"Not Str Rep","Moderate","Not legal",NA,"No","Favor","Too little","Too much","About right","About right","Bush","Yes"
"58",58,"South Central","Female","White","Bachelors","Divorced","Catholic",NA,"30000-34999","Strong Dem",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bush",NA
"59",59,"South Central","Female","White","HS","Widowed","Protestant","Very happy","1000-2999","Strong Dem","Moderate","Not legal","Favor",NA,NA,NA,NA,NA,NA,NA,"Yes"
"60",60,"South Central","Female","Other","HS","Divorced","Catholic",NA,"30000-34999","Ind, Near Rep",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61",61,"South Central","Male","White","Graduate","Married","Other",NA,"60000-74999","Not Str Rep",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bush",NA
"62",62,"South Central","Female","White","HS","Never Married","Protestant",NA,"5000-5999","Not Str Rep",NA,NA,NA,NA,NA,"Too much","About right","About right","Too little","Bush",NA
"63",63,"South Central","Female","White","Graduate","Widowed","Protestant","Pretty happy","50000-59999","Ind, Near Dem","Moderate",NA,"Favor","Yes","Oppose",NA,NA,NA,NA,"Bush","Yes"
"64",64,"South Central","Female","White","HS","Married","None","Very happy","17500-19999","Ind, Near Rep","Slightly liberal","Legal",NA,NA,NA,"About right","Too little","About right","About right",NA,"Yes"
"65",65,"South Central","Male","White","Left HS","Married","None","Pretty happy","12500-14999","Not Str Rep","Conservative","Not legal","Favor","No","Favor",NA,NA,NA,NA,NA,"No"
"66",66,"South Central","Male","White","HS","Widowed","Protestant",NA,NA,"Strong Rep",NA,NA,NA,NA,NA,"About right","Too much","Too much","Too little","Bush",NA
"67",67,"North Central","Female","Black","Left HS","Widowed","Protestant","Not too happy",NA,"Not Str Dem","Moderate","Legal","Favor",NA,NA,"About right","Too little","Too little","About right","Gore","Yes"
"68",68,"North Central","Female","Black","Left HS","Widowed","Protestant",NA,NA,"Ind",NA,NA,NA,NA,NA,"Too little","Too little","About right",NA,NA,NA
"69",69,"North Central","Male","Black","Left HS","Widowed","Protestant",NA,NA,"Not Str Dem",NA,NA,NA,NA,NA,"About right","Too little",NA,"About right","Gore",NA
"70",70,"North Central","Female","Black","Left HS","Widowed","Protestant",NA,NA,"Strong Dem",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Gore",NA
"71",71,"North Central","Female","Black","HS","Widowed","Protestant","Not too happy",NA,"Strong Dem","Moderate",NA,"Oppose","No","Favor","About right","Too little","Too little","Too little","Gore","Yes"
"72",72,"North Central","Female","Black","Left HS","Divorced","Protestant","Pretty happy",NA,"Strong Dem","Moderate","Legal","Favor",NA,NA,NA,NA,NA,NA,"Gore",NA
"73",73,"North Central","Female","Black","Left HS","Widowed","None",NA,NA,"Not Str Dem",NA,NA,NA,NA,NA,"Too little","Too little","About right","Too much","Gore",NA
"74",74,"North Central","Male","Black","HS","Married","Protestant",NA,"17500-19999","Strong Dem",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Gore",NA
"75",75,"North Central","Female","Black","Jr Col","Separated","Protestant","Pretty happy","110000-129999","Strong Dem","Moderate","Not legal","Oppose","Yes","Favor","About right","Too little","About right","About right","Gore","Yes"
"76",76,"North Central","Male","White","Jr Col","Married","Catholic","Very happy",NA,"Strong Dem","Slightly conservative",NA,"Favor","No","Favor",NA,NA,NA,NA,"Gore","Yes"
"77",77,"North Central","Male","White","HS","Divorced","Protestant",NA,"60000-74999","Strong Dem",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bush",NA
"78",78,"North Central","Male","White","HS","Never Married","Protestant","Pretty happy","75000-89999","Strong Rep","Slightly conservative",NA,"Favor","Yes","Oppose",NA,NA,NA,NA,"Bush","Yes"
"79",79,"North Central","Female","White","HS","Married","Catholic","Very happy","35000-39999","Not Str Dem","Moderate","Not legal","Favor","Yes","Favor",NA,NA,NA,NA,"Gore","Yes"
"80",80,"North Central","Male","White","HS","Married","Protestant",NA,"50000-59999","Ind",NA,NA,NA,NA,NA,"About right","About right","Too little","About right",NA,NA
"81",81,"North Central","Male","White","Left HS","Divorced","None",NA,"40000-49999","Ind",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"82",82,"North Central","Female","White","HS","Married","Catholic","Pretty happy","30000-34999","Ind","Moderate","Legal","Favor",NA,NA,NA,NA,NA,NA,"Bush",NA
"83",83,"North Central","Female","White","HS","Married","None","Pretty happy","7000-7999","Ind","Moderate",NA,NA,"Yes","Favor","Too little","Too little","About right","Too little",NA,"Yes"
"84",84,"North Central","Male","White","HS","Divorced","Catholic",NA,"30000-34999","Ind, Near Rep",NA,NA,NA,NA,NA,"Too much","Too little","Too little",NA,NA,NA
"85",85,"North Central","Female","White","HS","Widowed","Catholic","Very happy",NA,"Ind, Near Dem","Slightly liberal","Not legal",NA,"No","Favor","About right","Too little","Too little","Too little","Gore","Yes"
"86",86,"North Central","Female","White",NA,"Widowed","Catholic",NA,NA,"Strong Dem",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bush",NA
"87",87,"North Central","Female","White","Graduate","Never Married","Catholic",NA,NA,"Strong Dem",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Gore",NA
"88",88,"North Central","Male","White","Left HS","Divorced","Protestant",NA,NA,"Strong Dem",NA,NA,NA,NA,NA,"Too little","Too little","Too little","Too little",NA,NA
"89",89,"North Central","Female","White","HS","Widowed","Catholic","Very happy",NA,"Ind","Conservative","Not legal","Oppose",NA,NA,"About right","Too much","About right","About right","Bush","Yes"
"90",90,"North Central","Female","White","HS","Widowed","Protestant",NA,NA,"Strong Dem",NA,NA,NA,NA,NA,"About right","About right","About right","About right","Gore",NA
"91",91,"North Central","Male","White","HS","Married","Protestant",NA,NA,"Not Str Dem",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Other",NA
"92",92,"North Central","Female","White","HS","Married","None",NA,NA,"Ind",NA,NA,NA,NA,NA,"About right","Too little","Too little",NA,"Bush",NA
"93",93,"North Central","Female","White","HS","Never Married","None","Very happy","20000-22499","Ind","Moderate",NA,"Favor","No","Favor",NA,NA,NA,NA,NA,NA
"94",94,"North Central","Male","White","Bachelors","Never Married","Protestant","Pretty happy","60000-74999","Strong Dem","Liberal","Legal","Favor",NA,NA,"Too much","Too little","Too little","About right","Gore","Yes"
"95",95,"North Central","Female","White","Bachelors","Married","Catholic",NA,"3000-3999","Ind",NA,NA,NA,NA,NA,NA,"About right","Too much","Too much",NA,NA
"96",96,"North Central","Female","White","Graduate","Divorced","Jewish","Pretty happy","60000-74999","Strong Dem","Liberal",NA,"Oppose","No","Favor","About right","Too little","Too little","About right","Gore","Yes"
"97",97,"North Central","Male","White","HS","Divorced","Jewish","Pretty happy","110000-129999","Not Str Dem","Slightly conservative","Not legal","Favor",NA,NA,NA,NA,NA,NA,"Gore","Yes"
"98",98,"North Central","Female","White","HS","Never Married","Catholic",NA,"1000-2999","Ind, Near Rep",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"99",99,"North Central","Female","White","Bachelors","Married","Orthodox-Christian","Pretty happy",NA,"Not Str Rep","Moderate",NA,"Favor","No","Favor","About right","Too little","Too little","About right","Bush","Yes"
"100",100,"North Central","Female","White","HS","Divorced","Protestant","Pretty happy","30000-34999","Strong Rep","Moderate",NA,"Favor","Yes","Favor",NA,NA,NA,NA,"Bush","Yes"
"101",101,"North Central","Male","Other","HS","Never Married","Moslem/Islam","Pretty happy",NA,"Not Str Dem","Moderate","Legal","Oppose",NA,NA,"Too much","Too little","About right","Too little","Nader","Yes"
"102",102,"North Central","Female","White","HS","Divorced","None",NA,NA,"Not Str Dem",NA,NA,NA,NA,NA,"Too much","Too little","Too little","About right","Gore",NA
"103",103,"North Central","Male","White","HS","Divorced","Catholic",NA,"40000-49999","Other party",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Gore",NA
"104",104,"North Central","Female","Black","HS","Divorced","Protestant",NA,"50000-59999","Strong Dem",NA,NA,NA,NA,NA,"About right","Too little","Too little","About right","Gore",NA
"105",105,"North Central","Male","White","Left HS","Never Married","None","Pretty happy","10000-124999","Not Str Rep",NA,"Not legal","Oppose","Yes","Favor",NA,NA,NA,NA,NA,"Yes"
"106",106,"North Central","Female","White","HS","Married","Protestant",NA,"10000-124999","Not Str Dem",NA,NA,NA,NA,NA,"About right","Too little","About right","About right","Gore",NA
"107",107,"Mid-Atl","Male","White","HS","Separated","Catholic",NA,NA,"Ind",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Gore",NA
"108",108,"Mid-Atl","Female","Black","HS","Never Married","Protestant","Pretty happy","17500-19999","Ind, Near Dem","Moderate",NA,NA,"No","Oppose","Too much","Too little","About right","Too little","Gore","Yes"
"109",109,"Mid-Atl","Male","White","HS","Divorced","Protestant","Pretty happy",NA,"Ind","Moderate","Not legal","Favor",NA,NA,NA,NA,NA,NA,"Gore","No"
"110",110,"Mid-Atl","Female","Other","Left HS","Married","Catholic",NA,NA,"Ind",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"111",111,"Mid-Atl","Male","White","HS","Never Married","None","Pretty happy","130000-149999","Ind","Conservative","Legal","Favor","No","Favor","Too much","Too little","Too much","Too much",NA,"Yes"
"112",112,"Mid-Atl","Male","White","Left HS","Married","Catholic",NA,"12500-14999","Not Str Rep",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"113",113,"Mid-Atl","Female","Black","Left HS","Separated","Christian",NA,NA,"Strong Dem",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Gore",NA
"114",114,"New Engl","Female","White","HS","Married","Protestant","Pretty happy",NA,"Ind, Near Dem","Slightly liberal",NA,"Favor","No","Favor",NA,NA,NA,NA,"Gore","Yes"
"115",115,"Mid-Atl","Female","Black","HS","Divorced","Catholic",NA,NA,"Not Str Dem",NA,NA,NA,NA,NA,"About right","Too little","About right","Too little","Gore",NA
"116",116,"Mid-Atl","Male","Black","HS","Never Married","None","Not too happy","30000-34999","Ind, Near Dem","Moderate","Legal","Favor","No","Favor",NA,NA,NA,NA,NA,"Yes"
"117",117,"Mid-Atl","Female","Black","HS","Divorced","Protestant",NA,"20000-22499","Not Str Dem",NA,NA,NA,NA,NA,"Too much","Too little","Too little","Too much","Gore",NA
"118",118,"Mid-Atl","Female","Black","HS","Divorced","Jewish",NA,NA,"Strong Dem",NA,NA,NA,NA,NA,"Too much","Too little","About right","About right","Gore",NA
"119",119,"Mid-Atl","Female","Black","HS","Widowed","Protestant",NA,NA,"Strong Dem",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Gore",NA
"120",120,"Mid-Atl","Male","White","HS","Separated","Catholic","Pretty happy",NA,"Ind","Moderate",NA,"Favor","No","Favor","Too much","Too little","About right","About right","Gore","No"
"121",121,"Mid-Atl","Female","White","Left HS","Never Married","Catholic","Not too happy",NA,"Strong Rep","Conservative","Not legal","Favor","No","Favor","Too little","Too little","Too little","Too little",NA,"Yes"
"122",122,"Mid-Atl","Female","White","Left HS","Widowed","Catholic",NA,NA,"Not Str Rep",NA,NA,NA,NA,NA,"Too little","About right","Too little","About right","Bush",NA
"123",123,"Mid-Atl","Male","Black","HS","Divorced","Protestant",NA,NA,"Strong Dem",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Gore",NA
"124",124,"Mid-Atl","Male","Black","HS","Married","Catholic","Not too happy",NA,"Strong Dem","Slightly liberal",NA,"Oppose","No","Favor","About right","Too little","Too little","Too little",NA,"Yes"
"125",125,"Mid-Atl","Female","Black","Left HS","Widowed","Protestant","Not too happy","under 1000","Not Str Dem","Moderate","Not legal","Favor",NA,NA,NA,NA,NA,NA,"Gore",NA
"126",126,"South Atlantic","Female","White","HS","Widowed","Catholic","Not too happy",NA,"Not Str Rep","Slightly conservative","Not legal","Favor","No","Favor","Too little","Too little","Too little","About right","Bush","Yes"
"127",127,"South Atlantic","Female","White","HS","Married","Protestant",NA,"35000-39999","Not Str Rep",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"128",128,"South Atlantic","Male","White","Bachelors","Separated","Protestant",NA,"60000-74999","Ind, Near Rep",NA,NA,NA,NA,NA,"About right","Too little","Too little","About right","Nader",NA
"129",129,"South Atlantic","Male","Black","HS","Never Married","Moslem/Islam","Very happy",NA,NA,"Moderate","Not legal","Favor",NA,NA,"Too much","About right","About right","Too little",NA,"Yes"
"130",130,"South Atlantic","Male","White","Graduate","Married","Catholic","Very happy",NA,"Strong Dem","Slightly liberal","Not legal","Favor","No","Favor",NA,NA,NA,NA,"Gore",NA
"131",131,"South Atlantic","Male","White","Graduate","Married","Protestant",NA,"60000-74999","Ind, Near Rep",NA,NA,NA,NA,NA,"Too little","Too little","About right","About right","Bush",NA
"132",132,"South Atlantic","Female","White","Bachelors","Divorced","Catholic",NA,"60000-74999","Strong Rep",NA,NA,NA,NA,NA,"Too little","About right","Too little","About right","Bush",NA
"133",133,"Mid-Atl","Female","White","HS","Never Married","Protestant","Pretty happy","50000-59999","Not Str Dem","Moderate",NA,"Favor","No","Favor",NA,NA,NA,NA,"Gore","Yes"
"134",134,"Mid-Atl","Female","White","HS","Married","Catholic","Pretty happy",NA,"Not Str Rep","Moderate","Not legal","Favor",NA,NA,"Too little","Too little","Too little","Too little","Bush","Yes"
"135",135,"Mid-Atl","Male","White","HS","Never Married","Catholic",NA,"110000-129999","Ind, Near Rep",NA,NA,NA,NA,NA,"About right","Too little","Too little","Too little",NA,NA
"136",136,"Mid-Atl","Female","White","Jr Col","Married","Catholic","Pretty happy","7000-7999","Ind","Moderate",NA,"Favor","Yes","Favor","About right","About right","Too little","About right","Bush","Yes"
"137",137,"Mid-Atl","Female","White","HS","Separated","Catholic",NA,"15000-17499","Ind, Near Dem",NA,NA,NA,NA,NA,"Too little","About right","Too little","Too little",NA,NA
"138",138,"Mid-Atl","Male","White","Left HS","Married","Protestant","Pretty happy",NA,"Strong Dem","Moderate",NA,"Favor","No","Favor","About right","About right","Too little","Too little","Gore","No"
"139",139,"Mid-Atl","Male","White","HS","Married","Protestant","Pretty happy","90000-109999","Ind","Conservative","Not legal","Favor",NA,NA,NA,NA,NA,NA,"Gore","Yes"
"140",140,"Mid-Atl","Female","White","Bachelors","Married","Christian","Very happy","17500-19999","Not Str Dem","Liberal","Not legal","Favor","Yes","Favor","About right","Too little","Too little","Too little","Gore","No"
"141",141,"Mid-Atl","Female","White","HS","Divorced","Catholic",NA,NA,"Strong Dem",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Gore",NA
"142",142,"Mid-Atl","Male","White","HS","Married","Protestant",NA,"22500-24999","Not Str Rep",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bush",NA
"143",143,"Mid-Atl","Female","Black","Bachelors","Married","Protestant","Pretty happy",NA,"Ind","Conservative","Legal","Favor","No","Favor",NA,NA,NA,NA,"Gore","Yes"
"144",144,"Mid-Atl","Female","White","HS","Married","Protestant",NA,NA,"Ind",NA,NA,NA,NA,NA,"Too little","Too little","Too little","About right","Gore",NA
"145",145,"Mid-Atl","Female","White","HS","Never Married","None",NA,"60000-74999","Strong Dem",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"146",146,"Mid-Atl","Female","White","HS","Married","Orthodox-Christian",NA,NA,"Not Str Dem",NA,NA,NA,NA,NA,"About right","Too little","Too little","Too little","Gore",NA
"147",147,"Mid-Atl","Female","White","HS","Widowed","Catholic","Very happy",NA,"Ind","Slightly conservative",NA,NA,"No","Favor",NA,NA,NA,NA,"Bush",NA
"148",148,"Mid-Atl","Female","White","HS","Married","Catholic",NA,"5000-5999","Other party",NA,NA,NA,NA,NA,"Too little","Too little","Too little","About right","Bush",NA
"149",149,"Mid-Atl","Male","White","HS","Married","Protestant",NA,NA,"Ind, Near Rep",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bush",NA
"150",150,"Mid-Atl","Female","White","HS","Widowed","Catholic","Pretty happy",NA,"Not Str Rep","Conservative",NA,"Favor","No","Favor","About right","Too little","About right","About right","Bush","Yes"
"151",151,"Mid-Atl","Female","White","HS","Never Married","None",NA,"5000-5999","Not Str Dem",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Gore",NA
"152",152,"Mid-Atl","Male","White","Bachelors","Never Married","Orthodox-Christian","Very happy","40000-49999","Ind, Near Dem","Slightly conservative",NA,"Favor","Yes","Favor","About right","Too little","Too little","Too little",NA,NA
"153",153,"Mid-Atl","Male","White","Graduate","Never Married","Protestant","Very happy","60000-74999","Ind, Near Rep","Conservative","Not legal",NA,NA,NA,NA,NA,NA,NA,"Bush","Yes"
"154",154,"Mid-Atl","Male","White","Bachelors","Married","Catholic","Pretty happy","110000-129999","Not Str Dem","Slightly liberal","Not legal","Favor","No","Favor","About right","Too little","Too little","About right","Gore",NA
"155",155,"Mid-Atl","Female","White","HS","Widowed","Catholic",NA,NA,"Not Str Rep",NA,NA,NA,NA,NA,"Too little","Too little","About right","About right","Bush",NA
"156",156,"Mid-Atl","Male","White","HS","Married","Catholic",NA,NA,"Strong Dem",NA,NA,NA,NA,NA,"Too much","Too little","About right","Too little","Gore",NA
"157",157,"Mid-Atl","Male","White","HS","Married","None",NA,"35000-39999","Ind",NA,NA,NA,NA,NA,"Too much","Too much","Too little","Too much",NA,NA
"158",158,"Mid-Atl","Female","White","HS","Never Married","Catholic","Pretty happy","20000-22499","Not Str Rep","Moderate",NA,"Favor","No","Favor",NA,NA,NA,NA,NA,"No"
"159",159,"Mid-Atl","Male","White","HS","Married","Catholic","Very happy","50000-59999","Ind, Near Rep","Slightly conservative","Not legal","Favor",NA,NA,"Too little","Too little","Too little","Too much","Bush","Yes"
