,year,month,day,dep_time,sched_dep_time,dep_delay,arr_time,sched_arr_time,arr_delay,carrier,flight,tailnum,origin,dest,air_time,distance,hour,minute,orig.id
23,2013,1,11,1237,1245,-8,1332,1350,-18,AA,1850,N3JPAA,JFK,BOS,33,187,12,45,9233
24,2013,7,30,1631,1635,-4,1918,1938,-20,B6,89,N547JB,JFK,SAN,318,2446,16,35,278538
25,2013,12,31,554,550,4,1024,1027,-3,B6,939,N552JB,JFK,BQN,195,1576,5,50,110530
26,2013,6,20,537,545,-8,918,921,-3,B6,939,N612JB,JFK,BQN,193,1576,5,45,240031
27,2013,8,6,1405,1415,-10,1522,1534,-12,EV,5712,N826AS,JFK,IAD,47,228,14,15,285103
28,2013,11,9,1527,1530,-3,1839,1905,-26,UA,257,N597UA,JFK,SFO,347,2586,15,30,63830
29,2013,6,12,1455,1455,0,1632,1630,2,DL,1164,N315NB,JFK,BOS,38,187,14,55,232927
30,2013,7,25,1338,1315,23,1635,1607,28,UA,1130,N34131,EWR,LAX,319,2454,13,15,273598
31,2013,9,3,1523,1529,-6,1812,1836,-24,UA,375,N410UA,EWR,SEA,326,2402,15,29,311413
32,2013,8,21,658,700,-2,940,1004,-24,DL,763,N198DN,JFK,LAX,297,2475,7,0,299117
33,2013,6,17,1058,1100,-2,1310,1332,-22,DL,1647,N900PC,LGA,ATL,108,762,11,0,237410
34,2013,10,26,911,915,-4,1204,1230,-26,AA,1499,N5FTAA,JFK,MIA,151,1089,9,15,50635
35,2013,12,30,1156,1200,-4,1304,1315,-11,9E,2902,N293PQ,JFK,BOS,34,187,12,0,109931
36,2013,4,3,609,615,-6,917,921,-4,UA,1431,N14704,EWR,DFW,229,1372,6,15,167077
37,2013,12,19,952,1000,-8,1115,1143,-28,EV,5208,N748EV,LGA,RIC,55,292,10,0,100093
38,2013,9,16,1115,1120,-5,1232,1230,2,B6,1307,N187JB,JFK,IAD,55,228,11,20,323127
39,2013,12,25,700,700,0,1017,1025,-8,DL,486,N624AG,JFK,SLC,279,1990,7,0,105273
40,2013,10,27,1952,1930,22,2255,2233,22,B6,1271,N570JB,LGA,FLL,149,1076,19,30,51936
41,2013,11,14,2029,2029,0,2206,2207,-1,EV,4106,N16976,EWR,GSO,65,445,20,29,68826
42,2013,4,1,658,700,-2,1032,1044,-12,DL,1865,N705TW,JFK,SFO,360,2586,7,0,165176
43,2013,6,25,1908,1758,70,2130,1955,95,UA,1053,N24715,EWR,CLE,72,404,17,58,245495
44,2013,8,21,1538,1545,-7,1824,1900,-36,AA,133,N335AA,JFK,LAX,313,2475,15,45,299614
45,2013,10,13,1628,1635,-7,1759,1815,-16,MQ,2949,N660MQ,JFK,BNA,112,765,16,35,38710
46,2013,4,22,1636,1629,7,1934,1946,-12,UA,1726,N77520,EWR,SAN,340,2425,16,29,185524
47,2013,6,14,556,600,-4,731,751,-20,EV,5559,N131EV,EWR,DTW,75,488,6,0,234376
48,2013,1,30,1426,1429,-3,1801,1754,7,UA,257,N502UA,JFK,SFO,363,2586,14,29,25598
49,2013,1,23,1707,1703,4,1815,1810,5,EV,4373,N15910,EWR,DCA,42,199,17,3,19755
50,2013,4,21,1154,1200,-6,1306,1311,-5,US,2173,N949UW,LGA,DCA,46,214,12,0,184321
51,2013,7,24,945,950,-5,1213,1220,-7,VX,251,N838VA,JFK,LAS,304,2248,9,50,272398
52,2013,1,27,806,759,7,1029,1030,-1,UA,369,N533UA,LGA,DEN,242,1620,7,59,22636
53,2013,12,27,2320,2250,30,27,2356,31,B6,1816,N324JB,JFK,SYR,49,209,22,50,107847
54,2013,10,17,807,810,-3,1100,1111,-11,DL,1167,N308DE,JFK,TPA,142,1005,8,10,42125
55,2013,6,5,1559,1607,-8,1744,1758,-14,EV,5486,N759EV,LGA,PIT,60,335,16,7,226430
56,2013,11,21,825,825,0,1011,1029,-18,US,1831,N565UW,JFK,CLT,88,541,8,25,74621
57,2013,12,31,1857,1900,-3,2246,2244,2,DL,435,N706TW,JFK,SFO,368,2586,19,0,111193
58,2013,4,27,1609,1615,-6,1832,1840,-8,MQ,4657,N542MQ,LGA,ATL,111,762,16,15,190315
59,2013,2,10,1555,1520,35,1838,1842,-4,DL,2115,N341NW,LGA,MIA,143,1096,15,20,119446
60,2013,2,25,1932,1935,-3,2258,2316,-18,B6,645,N763JB,JFK,SFO,363,2586,19,35,133269
61,2013,12,26,732,729,3,1031,1029,2,UA,1143,N37277,EWR,PBI,155,1023,7,29,106060
62,2013,1,29,1924,1900,24,2302,2238,24,DL,87,N624AG,JFK,LAX,352,2475,19,0,25051
63,2013,11,14,855,900,-5,1152,1215,-23,DL,422,N707TW,JFK,LAX,327,2475,9,0,68132
64,2013,1,1,1632,1635,-3,1824,1810,14,MQ,3695,N507MQ,EWR,ORD,139,719,16,35,553
65,2013,4,18,1657,1700,-3,1802,1821,-19,US,2183,N750UW,LGA,DCA,42,214,17,0,181875
66,2013,4,4,1454,1500,-6,1555,1612,-17,US,2132,N956UW,LGA,BOS,37,184,15,0,168559
67,2013,2,26,1123,1130,-7,1345,1334,11,US,1625,N563UW,LGA,CLT,93,544,11,30,133746
68,2013,4,26,1857,1800,57,2031,1950,41,AA,353,N4XTAA,LGA,ORD,116,733,18,0,189597
69,2013,10,20,2131,2140,-9,2226,2255,-29,MQ,3621,N808MQ,JFK,DCA,41,213,21,40,45520
70,2013,7,2,1742,1636,66,1857,1805,52,B6,918,N373JB,JFK,BOS,37,187,16,36,252100
71,2013,5,28,1302,1301,1,1353,1412,-19,B6,1008,N197JB,JFK,BOS,36,187,13,1,218711
72,2013,1,1,1448,1445,3,1651,1647,4,US,1445,N560UW,LGA,CLT,96,544,14,45,426
73,2013,9,29,1925,1935,-10,2127,2159,-32,9E,3470,N931XJ,JFK,CVG,87,589,19,35,335652
74,2013,5,3,909,910,-1,1106,1110,-4,MQ,4582,N506MQ,LGA,CLT,78,544,9,10,195599
75,2013,9,5,853,859,-6,1055,1108,-13,EV,4087,N34110,EWR,IND,94,645,8,59,312991
76,2013,11,5,745,750,-5,857,912,-15,EV,3815,N16561,EWR,ROC,45,246,7,50,59583
77,2013,10,4,2118,2127,-9,2225,2237,-12,EV,4372,N21537,EWR,DCA,37,199,21,27,30897
78,2013,1,2,1044,1050,-6,1344,1358,-14,B6,373,N547JB,LGA,FLL,158,1076,10,50,1151
79,2013,12,1,700,700,0,1000,1002,-2,DL,1879,N323NB,LGA,FLL,154,1076,7,0,83250
80,2013,3,18,900,820,40,1103,1017,46,EV,4691,N22971,EWR,DAY,95,533,8,20,152248
81,2013,3,17,1505,1500,5,1803,1801,2,DL,2181,N662DN,LGA,MCO,136,950,15,0,151554
82,2013,5,12,758,800,-2,1110,1105,5,B6,25,N563JB,JFK,FLL,158,1069,8,0,203698
83,2013,7,10,601,600,1,828,844,-16,UA,1115,N78285,EWR,TPA,126,997,6,0,258704
84,2013,1,3,2257,2000,177,45,2224,141,9E,3439,N931XJ,JFK,CVG,90,589,20,0,2683
85,2013,5,30,1407,1400,7,1704,1715,-11,UA,1570,N76526,EWR,SFO,340,2565,14,0,220730
86,2013,7,1,1817,1706,71,2219,2111,68,B6,803,N651JB,JFK,SJU,198,1598,17,6,251112
87,2013,4,17,1917,1830,47,2125,2100,25,WN,1545,N278WN,EWR,MSY,163,1167,18,30,181057
88,2013,12,1,1558,1545,13,1903,1905,-2,AA,1156,N3JDAA,LGA,DFW,209,1389,15,45,83762
89,2013,5,7,1712,1715,-3,2000,2041,-41,DL,1863,N322NB,JFK,SAT,201,1587,17,15,199663
90,2013,5,6,1155,1200,-5,1428,1458,-30,DL,863,N722TW,JFK,LAX,309,2475,12,0,198376
91,2013,7,29,817,820,-3,1009,1026,-17,EV,4380,N11194,EWR,MSP,146,1008,8,20,277057
92,2013,11,27,605,610,-5,922,915,7,AA,1205,N5EBAA,EWR,MIA,170,1085,6,10,80021
93,2013,5,14,851,900,-9,1009,1038,-29,UA,364,N802UA,LGA,ORD,114,733,9,0,205688
94,2013,5,4,924,929,-5,1026,1052,-26,EV,4636,N26545,EWR,DCA,36,199,9,29,196534
95,2013,7,26,1210,1200,10,1508,1501,7,UA,1496,N39726,EWR,SNA,332,2434,12,0,274541
96,2013,12,1,935,935,0,1103,1105,-2,WN,3363,N436WN,LGA,MDW,112,725,9,35,83417
97,2013,9,2,NA,2013,NA,NA,2220,NA,EV,4570,N11551,EWR,GRR,NA,605,20,13,310779
98,2013,2,10,1529,1505,24,1848,1820,28,AA,759,N3BTAA,LGA,DFW,237,1389,15,5,119414
99,2013,9,11,1025,1030,-5,1308,1335,-27,AA,179,N339AA,JFK,SFO,319,2586,10,30,318554
100,2013,12,5,1541,1530,11,1903,1856,7,UA,257,N597UA,JFK,SFO,359,2586,15,30,87531
101,2013,1,7,803,810,-7,1029,1042,-13,DL,269,N344NB,JFK,ATL,105,760,8,10,5321
102,2013,9,5,1420,1355,25,1514,1510,4,UA,1146,N14231,EWR,BOS,34,200,13,55,313264
103,2013,3,14,1654,1700,-6,1944,1955,-11,AA,257,N3FJAA,JFK,LAS,298,2248,17,0,149012
104,2013,7,14,1033,1035,-2,1139,1154,-15,B6,2602,N368JB,JFK,BUF,53,301,10,35,262737
105,2013,3,9,1855,1859,-4,2141,2222,-41,DL,2190,N923DL,JFK,MIA,135,1089,18,59,144398
106,2013,11,17,2143,2100,43,2349,2328,21,DL,1247,N910DE,LGA,ATL,106,762,21,0,71410
107,2013,6,22,859,901,-2,1144,1204,-20,B6,63,N653JB,JFK,SEA,305,2422,9,1,242217
108,2013,1,14,1930,1935,-5,2330,2220,NA,EV,4204,N12195,EWR,OKC,NA,1325,19,35,12105
109,2013,10,15,2153,2145,8,145,140,5,B6,1103,N583JB,JFK,SJU,198,1598,21,45,40964
110,2013,12,22,820,820,0,1307,1345,-38,DL,454,N624AG,JFK,STT,196,1623,8,20,102725
111,2013,4,3,2052,2100,-8,2157,2210,-13,US,2144,N947UW,LGA,BOS,43,184,21,0,167976
112,2013,10,21,1822,1825,-3,2140,2133,7,DL,1854,N315NB,LGA,FLL,167,1076,18,25,46335
113,2013,12,24,1548,1550,-2,1813,1828,-15,DL,2488,N986DL,JFK,ATL,118,760,15,50,104984
114,2013,8,5,2241,2245,-4,2355,1,-6,B6,234,N183JB,JFK,BTV,46,266,22,45,284598
115,2013,6,18,1653,1625,28,1927,1808,79,DL,402,N334NB,JFK,BOS,41,187,16,25,238670
116,2013,4,29,1707,1700,7,2014,2022,-8,DL,706,N322NB,JFK,AUS,201,1521,17,0,192149
117,2013,2,25,920,930,-10,1309,1243,26,B6,1639,N579JB,LGA,RSW,166,1080,9,30,132689
118,2013,10,28,1825,1830,-5,2109,2124,-15,B6,183,N520JB,JFK,MCO,130,944,18,30,52838
119,2013,6,1,1625,1629,-4,1952,1927,25,B6,985,N793JB,LGA,TPA,143,1010,16,29,222734
120,2013,12,10,2044,2001,43,52,2304,108,B6,65,N729JB,JFK,ABQ,318,1826,20,1,92232
121,2013,1,20,1808,1820,-12,2203,2150,13,AA,119,N3EWAA,EWR,LAX,371,2454,18,20,17127
122,2013,4,30,737,745,-8,1026,1055,-29,UA,1123,N14230,EWR,FLL,151,1065,7,45,192579
123,2013,8,18,1929,1930,-1,2220,2248,-28,UA,1439,N37287,EWR,LAX,320,2454,19,30,296883
124,2013,7,17,1025,1030,-5,1305,1345,-40,AA,179,N335AA,JFK,SFO,315,2586,10,30,265712
125,2013,3,25,625,630,-5,821,845,-24,EV,4471,N12569,EWR,CLT,92,529,6,30,158580
126,2013,6,18,944,955,-11,1145,1213,-28,9E,4060,N8847A,LGA,DAY,86,549,9,55,238337
127,2013,4,15,829,834,-5,939,953,-14,UA,477,N486UA,EWR,BOS,38,200,8,34,178487
128,2013,4,24,1151,1200,-9,1247,1310,-23,US,2126,N965UW,LGA,BOS,33,184,12,0,187238
129,2013,5,23,NA,1800,NA,NA,1950,NA,AA,353,N529AA,LGA,ORD,NA,733,18,0,214808
130,2013,2,8,842,840,2,1044,1030,14,EV,4548,N14998,EWR,RDU,80,416,8,40,117561
131,2013,4,23,628,630,-2,802,811,-9,EV,4334,N16919,EWR,CMH,75,463,6,30,185956
132,2013,11,18,2026,2030,-4,2144,2205,-21,WN,3494,N282WN,EWR,MDW,117,711,20,30,72388
133,2013,1,24,1828,1800,28,2001,1915,46,B6,1016,N216JB,JFK,BOS,43,187,18,0,20736
134,2013,11,14,1257,1300,-3,1624,1631,-7,DL,432,N722TW,JFK,SFO,352,2586,13,0,68350
135,2013,4,27,858,900,-2,1119,1142,-23,DL,1747,N670DN,LGA,ATL,115,762,9,0,189971
136,2013,10,27,1826,1830,-4,2057,2124,-27,B6,183,N588JB,JFK,MCO,128,944,18,30,51851
137,2013,4,2,1549,1435,74,1819,1707,72,EV,3810,N12569,EWR,JAX,122,820,14,35,166636
138,2013,9,1,804,800,4,1025,1019,6,DL,27,N388DA,JFK,ATL,104,760,8,0,309294
139,2013,8,16,814,815,-1,920,930,-10,MQ,3370,N836MQ,JFK,DCA,44,213,8,15,294529
140,2013,12,21,1828,1825,3,2058,2108,-10,DL,406,N3752,JFK,ATL,119,760,18,25,102419
141,2013,5,14,1741,1635,66,2020,1954,26,B6,15,N656JB,JFK,FLL,133,1069,16,35,206175
142,2013,7,23,1837,1800,37,2017,2012,5,DL,1321,N326US,EWR,MSP,139,1008,18,0,271815
143,2013,12,9,1032,1025,7,1146,1127,19,B6,518,N228JB,JFK,BOS,36,187,10,25,90888
144,2013,7,23,1245,1250,-5,1347,1359,-12,B6,316,N324JB,JFK,SYR,47,209,12,50,271518
145,2013,6,15,604,600,4,731,735,-4,WN,2269,N230WN,LGA,STL,126,888,6,0,235372
146,2013,4,8,1809,1753,16,2128,2105,23,UA,535,N596UA,JFK,LAX,345,2475,17,53,172427
147,2013,9,17,2146,2125,21,2259,2247,12,EV,5489,N719EV,LGA,CHO,48,305,21,25,324693
148,2013,2,13,555,600,-5,738,759,-21,DL,731,N369NB,LGA,DTW,86,502,6,0,121656
149,2013,6,4,650,655,-5,943,935,8,AA,1815,N5CDAA,JFK,MCO,130,944,6,55,224939
150,2013,11,1,844,848,-4,1201,1226,-25,B6,15,N834JB,JFK,SFO,348,2586,8,48,56105
151,2013,2,22,1631,1640,-9,2012,1955,17,AA,773,N512AA,LGA,DFW,239,1389,16,40,130477
152,2013,2,14,1521,1525,-4,1651,1700,-9,WN,3765,N467WN,LGA,MKE,110,738,15,25,123119
153,2013,6,8,1800,1731,29,2037,2044,-7,B6,359,N569JB,JFK,BUR,318,2465,17,31,229353
154,2013,3,16,959,1000,-1,1237,1221,16,EV,4689,N14904,EWR,SAV,111,708,10,0,150544
155,2013,9,24,1558,1605,-7,1739,1755,-16,AA,343,N528AA,LGA,ORD,116,733,16,5,330888
156,2013,8,15,621,625,-4,855,915,-20,WN,16,N963WN,EWR,HOU,196,1411,6,25,293386
157,2013,7,23,824,638,106,1124,911,133,UA,226,N578UA,EWR,IAH,186,1400,6,38,271303
158,2013,11,7,1936,1940,-4,2106,2120,-14,AA,363,N504AA,LGA,ORD,112,733,19,40,62213
159,2013,3,21,720,730,-10,1028,1040,-12,AA,715,N580AA,LGA,DFW,210,1389,7,30,155020
160,2013,12,21,913,915,-2,1208,1200,8,9E,4065,N830AY,LGA,SDF,120,659,9,15,101982
161,2013,3,30,1312,1318,-6,1556,1623,-27,B6,377,N595JB,LGA,FLL,144,1076,13,18,163772
162,2013,2,13,1645,1615,30,1826,1815,11,9E,3387,N916XJ,JFK,RDU,85,427,16,15,122270
163,2013,6,17,2125,2023,62,2345,2229,76,EV,4536,N13969,EWR,CVG,96,569,20,23,237975
164,2013,12,27,2004,1932,32,2302,2305,-3,B6,161,N613JB,JFK,SMF,335,2521,19,32,107745
165,2013,9,11,659,659,0,852,857,-5,EV,4166,N11107,EWR,GSP,80,594,6,59,318335
166,2013,7,31,1546,1545,1,1800,1806,-6,DL,1942,N309DE,EWR,ATL,106,746,15,45,279478
167,2013,1,17,1603,1506,57,1850,1819,31,UA,1600,N13138,EWR,LAX,320,2454,15,6,14590
168,2013,12,8,1750,1730,20,1921,1846,35,B6,2580,N247JB,EWR,BOS,32,200,17,30,90308
169,2013,9,20,1342,1345,-3,1630,1702,-32,DL,476,N337NB,LGA,MIA,146,1096,13,45,327158
170,2013,7,24,657,655,2,1052,1101,-9,DL,315,N683DA,JFK,SJU,199,1598,6,55,272223
171,2013,8,10,832,800,32,943,930,13,EV,4583,N14543,EWR,PWM,46,284,8,0,288776
172,2013,9,29,805,810,-5,1029,1054,-25,DL,857,N395DN,JFK,SAN,302,2446,8,10,334990
173,2013,5,5,754,800,-6,954,958,-4,B6,1273,N304JB,JFK,CHS,92,636,8,0,197189
174,2013,7,4,1827,1825,2,2121,2134,-13,UA,1680,N47414,EWR,MIA,146,1085,18,25,253971
175,2013,6,9,2025,2030,-5,2207,2217,-10,B6,917,N354JB,JFK,ORD,115,740,20,30,230343
176,2013,10,26,741,749,-8,1024,1043,-19,B6,1717,N547JB,LGA,TPA,145,1010,7,49,50538
177,2013,5,27,2136,2110,26,2,2349,13,UA,1611,N76269,EWR,IAH,178,1400,21,10,218253
178,2013,5,4,847,850,-3,1236,1245,-9,DL,301,N3765,JFK,SJU,188,1598,8,50,196502
179,2013,5,23,748,750,-2,1118,1148,-30,UA,1216,N37462,EWR,SJU,196,1608,7,50,214071
180,2013,4,4,1445,1445,0,1544,1604,-20,9E,3452,N906XJ,JFK,BOS,38,187,14,45,168542
181,2013,2,22,902,902,0,1352,1403,-11,UA,1519,N16713,EWR,STT,191,1634,9,2,130096
182,2013,5,26,1744,1705,39,1935,1911,24,US,1687,N102UW,LGA,CLT,71,544,17,5,217173
183,2013,3,1,1632,1635,-3,1909,2001,-52,US,656,N680AW,EWR,PHX,257,2133,16,35,136866
184,2013,2,28,1422,1400,22,1707,1631,36,B6,615,N292JB,JFK,JAX,135,828,14,0,135758
185,2013,8,2,1722,1725,-3,2025,2022,3,DL,479,N399DA,EWR,SLC,281,1969,17,25,281565
186,2013,6,26,907,853,14,1127,1111,16,UA,1643,N41140,EWR,DEN,214,1605,8,53,245976
187,2013,7,28,1418,1430,-12,1539,1554,-15,EV,4171,N13553,EWR,MSN,115,799,14,30,276415
188,2013,8,28,2133,2010,83,2312,2134,98,B6,418,N198JB,JFK,BOS,36,187,20,10,306458
189,2013,12,12,704,705,-1,855,850,5,WN,1352,N352SW,EWR,STL,141,872,7,5,93546
190,2013,8,18,1633,1635,-2,1917,1944,-27,B6,423,N789JB,JFK,LAX,309,2475,16,35,296694
191,2013,5,5,1529,1538,-9,1729,1749,-20,EV,4555,N12922,EWR,SDF,100,642,15,38,197590
192,2013,11,5,904,910,-6,1202,1220,-18,AA,1,N324AA,JFK,LAX,336,2475,9,10,59698
193,2013,2,22,820,820,0,953,955,-2,MQ,4655,N532MQ,LGA,BNA,125,764,8,20,130034
194,2013,6,14,2125,2028,57,11,2339,32,UA,1682,N73275,EWR,FLL,135,1065,20,28,235259
195,2013,6,18,1400,1315,45,1545,1449,56,EV,4552,N13956,EWR,GSO,71,445,13,15,238536
196,2013,9,12,816,820,-4,1046,1110,-24,B6,281,N284JB,JFK,HOU,180,1428,8,20,319385
197,2013,7,27,1753,1800,-7,2002,2006,-4,DL,1321,N388DA,EWR,MSP,152,1008,18,0,275772
198,2013,10,24,856,900,-4,1138,1157,-19,B6,63,N523JB,JFK,SEA,316,2422,9,0,48710
199,2013,9,17,800,805,-5,932,943,-11,9E,3611,N8631E,JFK,PIT,66,340,8,5,323911
200,2013,12,21,2141,2046,55,46,2358,48,B6,329,N703JB,JFK,RSW,161,1074,20,46,102556
201,2013,2,2,1301,1310,-9,1744,1805,-21,DL,315,N3765,JFK,SJU,192,1598,13,10,112544
202,2013,6,25,723,705,18,827,819,8,UA,1160,N37474,EWR,BOS,44,200,7,5,244859
203,2013,1,11,1253,1259,-6,1459,1456,3,US,1459,N194UW,LGA,CLT,100,544,12,59,9246
204,2013,7,14,749,755,-6,847,930,-43,AA,309,N434AA,LGA,ORD,100,733,7,55,262581
205,2013,2,22,1825,1800,25,2127,2109,18,B6,989,N583JB,JFK,FLL,151,1069,18,0,130599
206,2013,9,6,827,825,2,929,935,-6,AA,84,N5FAAA,JFK,BOS,36,187,8,25,313927
207,2013,11,24,952,1000,-8,1123,1136,-13,UA,673,N456UA,LGA,ORD,121,733,10,0,77381
208,2013,11,12,1245,1245,0,1549,1537,12,B6,383,N519JB,JFK,MCO,156,944,12,45,66372
209,2013,6,22,1918,1905,13,2217,2210,7,UA,1243,N23721,EWR,MIA,153,1085,19,5,242719
210,2013,10,25,730,725,5,946,953,-7,UA,1548,N24729,EWR,MSY,174,1167,7,25,49584
211,2013,6,19,1733,1730,3,2125,1904,NA,B6,38,N190JB,JFK,ROC,NA,264,17,30,239769
212,2013,1,27,1325,1330,-5,1652,1705,-13,WN,1078,N428WN,EWR,PHX,309,2133,13,30,22873
213,2013,9,23,1348,1355,-7,1528,1535,-7,MQ,3493,N527MQ,LGA,CLE,66,419,13,55,329758
214,2013,9,24,758,800,-2,1033,1100,-27,AA,33,N338AA,JFK,LAX,313,2475,8,0,330414
215,2013,2,26,1654,1659,-5,2016,2035,-19,UA,1201,N13750,EWR,SAT,245,1569,16,59,134038
216,2013,4,15,1601,1600,1,1751,1731,20,UA,1492,N24224,EWR,ORD,129,719,16,0,178903
217,2013,6,24,2250,2115,95,229,131,58,DL,347,N377DA,JFK,SJU,196,1598,21,15,244606
218,2013,5,24,NA,1659,NA,NA,1843,NA,EV,3825,N16981,EWR,STL,NA,872,16,59,215879
219,2013,5,20,1707,1632,35,1950,1956,-6,B6,675,N649JB,JFK,LAX,312,2475,16,32,211694
220,2013,4,8,2015,1915,60,2323,2233,50,UA,203,N841UA,EWR,LAX,337,2454,19,15,172563
221,2013,7,9,557,600,-3,649,659,-10,US,2161,N754UW,LGA,DCA,37,214,6,0,257664
222,2013,3,19,1743,1745,-2,2134,2120,14,AA,177,N339AA,JFK,SFO,381,2586,17,45,153637
223,2013,3,18,1800,1750,10,2139,2101,38,UA,1139,N57852,EWR,LAX,349,2454,17,50,152731
224,2013,11,12,1542,1545,-3,1652,1705,-13,AA,256,N3FXAA,JFK,BOS,39,187,15,45,66548
225,2013,8,12,2121,2125,-4,2351,2354,-3,B6,97,N552JB,JFK,DEN,231,1626,21,25,291299
226,2013,11,19,822,830,-8,1032,1041,-9,9E,3385,N913XJ,EWR,MSP,165,1008,8,30,72663
227,2013,2,20,1628,1635,-7,1801,1810,-9,MQ,3695,N542MQ,EWR,ORD,114,719,16,35,128567
228,2013,3,24,1001,935,26,1239,1230,9,VX,251,N848VA,JFK,LAS,315,2248,9,35,157856
229,2013,12,28,1524,1515,9,2002,2009,-7,DL,2043,N3749D,JFK,SJU,184,1598,15,15,108338
230,2013,3,11,1601,1540,21,1729,1709,20,EV,3815,N13995,EWR,BNA,127,748,15,40,146043
231,2013,12,20,2016,1928,48,44,2302,102,UA,1526,N13716,EWR,LAX,376,2454,19,28,101653
232,2013,10,11,905,912,-7,1024,1025,-1,B6,208,N296JB,JFK,PWM,51,273,9,12,36713
233,2013,6,24,48,2130,198,259,2359,180,B6,1677,N258JB,JFK,JAX,110,828,21,30,243762
234,2013,1,22,1156,1200,-4,1359,1400,-1,US,1443,N704US,JFK,CLT,100,541,12,0,18576
235,2013,5,15,745,745,0,1045,1045,0,DL,183,N717TW,JFK,SEA,328,2422,7,45,206555
236,2013,3,26,2203,2159,4,102,56,6,B6,11,N529JB,JFK,FLL,153,1069,21,59,160464
237,2013,8,21,726,730,-4,1013,1025,-12,AA,1757,N3EUAA,JFK,TPA,141,1005,7,30,299140
238,2013,11,28,711,708,3,1012,1013,-1,UA,1162,N27722,EWR,MIA,154,1085,7,8,81099
239,2013,9,4,827,830,-3,946,1009,-23,9E,3521,N923XJ,JFK,ORD,107,740,8,30,312003
240,2013,8,5,1625,1630,-5,1959,1959,0,VX,27,N841VA,JFK,SFO,355,2586,16,30,284272
241,2013,7,25,612,605,7,718,720,-2,WN,3574,N746SW,EWR,MDW,99,711,6,5,273180
242,2013,6,10,1902,1825,37,2025,2009,16,EV,5207,N730EV,LGA,BGR,58,378,18,25,231176
243,2013,9,17,1910,1910,0,2242,2215,27,AA,21,N336AA,JFK,LAX,309,2475,19,10,324588
244,2013,2,26,1839,1845,-6,2039,2058,-19,DL,2131,N907DE,LGA,DTW,89,502,18,45,134142
245,2013,1,4,1628,1600,28,1918,1915,3,AA,565,N3GFAA,JFK,DFW,207,1391,16,0,3297
246,2013,9,5,849,855,-6,1224,1244,-20,DL,301,N3745B,JFK,SJU,197,1598,8,55,312985
247,2013,12,19,754,755,-1,926,925,1,WN,398,N254WN,EWR,MDW,119,711,7,55,99964
248,2013,8,22,627,630,-3,848,845,3,DL,575,N307DQ,EWR,ATL,102,746,6,30,300061
249,2013,9,11,2049,2054,-5,2348,2358,-10,B6,1295,N779JB,JFK,AUS,176,1521,20,54,319087
250,2013,8,16,1526,1530,-4,1850,1855,-5,AA,85,N399AA,JFK,SFO,332,2586,15,30,294914
